,rdot,qrad,x,y,E1,E257,E250,b249,lv,V,ID
69,0.00031448942057057353,236699.09925191093,0.04767248842120862,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
71,0.00034375540675959823,258726.01690495326,0.04952411641828705,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
73,0.0003487581924228694,262491.3418500604,0.05129003773164138,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
74,0.0002866199119568967,215723.23439298375,0.041281760127512446,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
79,0.00032223700256456516,242530.28325813607,0.0439705473524159,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
81,0.0002908080739267497,218875.43634619014,0.04216828737519823,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
82,0.00029182430083623704,219640.29512482506,0.0457922915644049,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
83,0.00027846342770700036,209584.29187622073,0.03689689366255848,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
87,0.00030582512027211667,230177.95118730515,0.02144831779465577,0.0038606905478247733,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
89,0.0,0.0,0.0184028444697016,0.0009126731919716503,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
92,0.0002355544077470792,224494.27681768202,0.058571221731067685,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
93,0.00023513177396003137,224091.4872146792,0.06281940289431029,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
95,0.00024364318451778794,232203.25627957218,0.06458065518177963,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
97,0.00024232032623690058,230942.51097686082,0.06195240985184063,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
99,0.0002499315997533276,238196.4076883438,0.060245689932558744,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
100,0.00023128774937510277,220427.95347945177,0.05939232994753106,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
101,0.0002218211360010143,211405.8318233354,0.05620465237945034,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
103,0.0002368751713832711,225753.02582683816,0.05778236528316877,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
106,0.0002166581387821669,206485.25598719413,0.05461181959400954,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
107,0.00022002466649606898,209693.71305555268,0.05541075596657661,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
109,0.00029585532867838706,281963.85153457476,0.07932266874142052,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
111,0.0002671152675793137,254573.24019411486,0.07621345983971775,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
113,0.0002730275853713586,260207.95329388653,0.07776272438901533,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
