T,lambda,G,nu_l,rho_l,gamma,r,h_0,u_0,ts_dt,R,volume,time
167.1001838,0.009671791,25.12747055,1.92E-06,716.534569,0.023502987,0.000554191,0.002417948,0.0058365,1.00E-05,0.007253843,2.88E-08,0.00733328
239.8393333,0.004688615,19.08422798,1.25E-06,670.5013843,0.018411247,0.000234112,0.001172154,0.005086041,5.00E-05,0.003516461,,
255.1232888,0.004143014,26.69575824,1.18E-06,660.8288881,0.01734137,0.000668561,0.001035753,0.016437093,1.00E-05,0.00310726,2.30E-09,0.00199023
233.4068159,0.00961925,21.56045831,1.29E-06,674.5722218,0.018861523,0.000343597,0.002404813,0.003638383,1.00E-05,0.007214438,2.81E-08,0.00727949
220.4694844,0.008633099,24.30181133,1.37E-06,682.7596501,0.019767136,0.000499502,0.002158275,0.005893466,1.00E-05,0.006474824,2.05E-08,0.00595098
165.2620124,0.006677303,10.81928485,1.95E-06,717.6978611,0.023631659,4.45E-05,0.001669326,0.000679319,5.00E-05,0.005007977,9.45E-09,0.00693398
206.8179155,0.007812682,12.58713432,1.47E-06,691.3990857,0.020722746,6.57E-05,0.00195317,0.000857012,5.00E-05,0.005859511,1.52E-08,0.00708437
215.9109962,0.005268973,17.72550289,1.40E-06,685.6445028,0.02008623,0.000185547,0.001317243,0.003586963,5.00E-05,0.00395173,,
261.5325558,0.008429233,22.94292851,1.15E-06,656.7727646,0.016892721,0.000417424,0.002107308,0.005044165,1.00E-05,0.006321925,1.90E-08,0.00572871
114.7137796,0.007104316,24.34152662,3.33E-06,749.687459,0.027170035,0.000502048,0.001776079,0.007198185,1.00E-05,0.005328237,1.14E-08,0.00552722
135.2809967,0.005022084,23.0022613,2.60E-06,736.6714351,0.02573033,0.000420807,0.001255521,0.008534914,1.00E-05,0.003766563,4.03E-09,0.00328938
242.8631471,0.005251855,19.81675238,1.24E-06,668.5877548,0.01819958,0.000263591,0.001312964,0.005112317,5.00E-05,0.003938891,,
146.9610821,0.006433697,12.09604904,2.30E-06,729.2796587,0.024912724,5.89E-05,0.001608424,0.000933026,5.00E-05,0.004825273,8.46E-09,0.00591289
229.6039542,0.007761324,11.15493921,1.31E-06,676.978874,0.019127723,4.79E-05,0.001940331,0.000628291,5.00E-05,0.005820993,1.49E-08,0.0077082
216.2458875,0.007572773,28.92467798,1.40E-06,685.4325658,0.020062788,0.000856056,0.001893193,0.011514566,1.00E-05,0.005679579,1.40E-08,0.00469375
223.1403781,0.004030217,10.05843045,1.35E-06,681.0693672,0.019580174,3.81E-05,0.001007554,0.000962317,5.00E-05,0.003022663,,
73.05765163,0.00853831,11.51297804,6.62E-06,776.0496621,0.030085964,5.18E-05,0.002134577,0.000617747,5.00E-05,0.006403732,1.97E-08,0.0115648
151.5283639,0.007376429,14.80811613,2.20E-06,726.389241,0.024593015,0.000106043,0.001844107,0.001464317,5.00E-05,0.005532322,1.28E-08,0.00630195
159.4832792,0.004159146,27.95578831,2.05E-06,721.3549495,0.02403617,0.000770842,0.001039787,0.018878225,1.00E-05,0.00311936,,
215.1281999,0.007075496,14.33186766,1.40E-06,686.1398977,0.020141026,9.60E-05,0.001768874,0.001382314,5.00E-05,0.005306622,1.13E-08,0.00564062
72.12718182,0.007890969,22.18975735,6.75E-06,776.6385126,0.030151097,0.000376026,0.001972742,0.004853862,1.00E-05,0.005918227,,
164.0566426,0.008988744,28.63830677,1.97E-06,718.460683,0.023716035,0.000830263,0.002247186,0.009408421,1.00E-05,0.006741558,2.34E-08,0.00624498
86.20836066,0.007304375,11.00455594,5.17E-06,767.7271972,0.029165415,4.63E-05,0.001826094,0.000646187,5.00E-05,0.005478281,1.24E-08,0.0089
76.95858069,0.00666502,25.56395631,6.13E-06,773.5809476,0.029812899,0.000584621,0.001666255,0.008934559,1.00E-05,0.004998765,,
80.62614881,0.006228247,26.42201362,5.72E-06,771.2599164,0.02955617,0.000647583,0.001557062,0.010590819,1.00E-05,0.004671185,,
96.38043844,0.007156091,18.59910026,4.35E-06,761.2897678,0.028453369,0.000215877,0.001789023,0.00307278,5.00E-05,0.005367068,1.18E-08,0.00637109
92.82458086,0.005740199,21.8166707,4.61E-06,763.5401028,0.028702279,0.000356566,0.00143505,0.006327228,1.00E-05,0.004305149,5.93E-09,0.00543862
157.3753514,0.005331267,27.23150568,2.09E-06,722.6889577,0.024183725,0.000710891,0.001332817,0.013582288,1.00E-05,0.00399845,4.89E-09,0.0032425
137.3305692,0.003567942,27.59674299,2.54E-06,735.3743571,0.02558686,0.000740728,0.000891986,0.021146611,1.00E-05,0.002675957,,
83.66713626,0.009206699,22.52982872,5.41E-06,769.3354185,0.0293433,0.000394364,0.002301675,0.004363087,1.00E-05,0.006905025,2.52E-08,0.00932084
122.4997542,0.008274875,16.88508845,3.01E-06,744.760082,0.026625017,0.000159304,0.002068719,0.001960946,5.00E-05,0.006206156,1.81E-08,0.00735156
139.6700174,0.007017831,25.91721821,2.48E-06,733.8938305,0.025423099,0.000610034,0.001754458,0.008854232,1.00E-05,0.005263373,1.11E-08,0.00489063
161.0346026,0.00679288,20.70281312,2.02E-06,720.3731899,0.023927578,0.000302474,0.00169822,0.004535599,1.00E-05,0.00509466,9.90E-09,0.00480906
231.931489,0.007110298,19.40182228,1.29E-06,675.5058868,0.018964796,0.000246602,0.001777575,0.003532722,5.00E-05,0.005332724,1.13E-08,0.00492578
192.3169692,0.009091007,25.4234905,1.60E-06,700.5760522,0.021737812,0.000574712,0.002272752,0.006439297,1.00E-05,0.006818255,2.39E-08,0.00646501
157.194058,0.009554314,26.89120498,2.09E-06,722.8036898,0.024196416,0.000683808,0.002388579,0.007290118,1.00E-05,0.007165736,2.79E-08,0.00712023
130.5520588,0.00788856,22.80343207,2.74E-06,739.6641574,0.026061356,0.00040954,0.00197214,0.005288092,1.00E-05,0.00591642,1.56E-08,0.00603931
245.6732989,0.008797105,20.62658239,1.22E-06,666.809342,0.018002869,0.000298987,0.002199276,0.003461885,1.00E-05,0.006597829,2.15E-08,0.00643192
154.2496096,0.007599537,15.90323872,2.15E-06,724.6670927,0.024402527,0.000132133,0.001899884,0.001771026,5.00E-05,0.005699653,1.40E-08,0.00632344
83.26905202,0.009180056,28.75793245,5.45E-06,769.5873473,0.029371166,0.000840975,0.002295014,0.009331209,1.00E-05,0.006885042,,
257.2198058,0.007250371,17.24226375,1.17E-06,659.5021011,0.017194614,0.000170113,0.001812593,0.002389886,5.00E-05,0.005437779,1.20E-08,0.00522734
66.00971829,0.006611827,10.15022441,7.67E-06,780.5099674,0.03057932,3.88E-05,0.001652957,0.000597342,5.00E-05,0.00495887,9.12E-09,0.01005
169.8254115,0.003987748,15.24790102,1.88E-06,714.8099006,0.023312221,0.000116002,0.000996937,0.002963038,5.00E-05,0.002990811,,
89.7265278,0.007847769,27.05682114,4.86E-06,765.5007147,0.028919143,0.000696903,0.001961942,0.009045367,1.00E-05,0.005885827,,
100.3530105,0.008440298,11.94177009,4.09E-06,758.7757139,0.028175289,5.69E-05,0.002110074,0.000687215,5.00E-05,0.006330223,1.91E-08,0.0096207
106.0146348,0.004427608,22.83539775,3.76E-06,755.1927383,0.027778976,0.000411338,0.001106902,0.009463021,1.00E-05,0.003320706,,
124.8301989,0.008804702,27.51395476,2.93E-06,743.2852532,0.026461886,0.000733894,0.002201176,0.008490221,1.00E-05,0.006603527,2.19E-08,0.0066712
147.5709663,0.005757534,11.19441615,2.29E-06,728.8936917,0.024870032,4.83E-05,0.001439384,0.000854268,5.00E-05,0.004318151,6.06E-09,0.00542891
108.6330981,0.008337731,24.23211975,3.62E-06,753.5356361,0.027595683,0.000495055,0.002084433,0.00604792,1.00E-05,0.006253298,1.84E-08,0.00695043
238.4982775,0.005122636,20.74546382,1.26E-06,671.3500754,0.018505121,0.000304437,0.001280659,0.00605347,1.00E-05,0.003841977,4.26E-09,0.00298844
89.17492808,0.003977976,15.50753141,4.91E-06,765.8497963,0.028957755,0.000122206,0.000994494,0.003129167,5.00E-05,0.002983482,2.01E-09,0.00355449
