%mcmc_id interface             Lv       CURVE1_1 
282          NO_ID    8.849078696 0.0002037027691 
283          NO_ID     8.50479534 0.000217000074 
284          NO_ID    8.992791661 0.0001989037835 
285          NO_ID    8.892610968 0.0002021859537 
286          NO_ID    8.615646475 0.0002125402232 
287          NO_ID    8.978783475 0.0001993439541 
288          NO_ID    8.828486021 0.0002044374794 
289          NO_ID    8.742157561 0.0002076241227 
290          NO_ID    8.664468538 0.0002106148809 
291          NO_ID    8.139596187 0.0002318105902 
292          NO_ID    8.006484701 0.0002370565604 
293          NO_ID    8.435216095 0.0002198347112 
294          NO_ID    8.324286098 0.0002243625473 
295          NO_ID    8.363666977 0.0002227566955 
296          NO_ID    8.122591523 0.0002324868767 
297          NO_ID    8.649516265 0.0002112012684 
298          NO_ID    8.721131155 0.0002084233991 
299          NO_ID    8.524139185 0.0002162154194 
300          NO_ID    8.027915614 0.0002362192648 
301          NO_ID    8.185842455 0.0002299624289 
302          NO_ID    8.096976531 0.0002335021962 
303          NO_ID    8.163132444 0.000230871604 
304          NO_ID    8.050200887 0.0002353456969 
305          NO_ID     8.14222276 0.0002317059702 
306          NO_ID    8.280346254 0.0002261490238 
307          NO_ID    8.864065696 0.0002031748578 
308          NO_ID    8.512671757 0.0002166803393 
309          NO_ID    8.753361589 0.0002072016434 
310          NO_ID    8.205312118 0.0002291806017 
311          NO_ID    8.264771829 0.0002267804656 
312          NO_ID    8.588840702 0.0002136091518 
313          NO_ID    8.753437882 0.000207198775 
314          NO_ID    8.506275929 0.0002169399475 
315          NO_ID    8.866041404 0.0002031057035 
316          NO_ID    8.112902976 0.0002328713914 
317          NO_ID    8.179831373 0.0002302033725 
318          NO_ID    8.520551251 0.0002163608048 
319          NO_ID    8.107616062 0.0002330809685 
320          NO_ID    8.124652864 0.0002324049916 
321          NO_ID    8.845151244 0.000203842071 
322          NO_ID    8.759870563 0.0002069573425 
323          NO_ID    8.840813171 0.0002039963921 
324          NO_ID    8.875596087 0.0002027727387 
325          NO_ID    8.799417341 0.0002054920982 
326          NO_ID    8.410343165 0.0002208504904 
327          NO_ID    8.871435701  0.00020291742 
328          NO_ID    8.568376607 0.000214429891 
329          NO_ID    8.929867763 0.0002009297749 
330          NO_ID     8.70305252 0.0002091169424 
331          NO_ID    8.444729144 0.0002194463996 
332          NO_ID    8.191210258 0.0002297470935 
333          NO_ID    8.460561484 0.0002188005274 
334          NO_ID    8.899903684 0.0002019369207 
335          NO_ID    8.894837862 0.0002021097503 
336          NO_ID    8.928581207 0.0002009724758 
337          NO_ID    8.721377553 0.0002084139861 
338          NO_ID    8.256463301 0.0002271168873 
339          NO_ID    8.797869549 0.0002055488029 
340          NO_ID      8.6498725 0.0002111872624 
341          NO_ID    8.909884349 0.0002015985515 
342          NO_ID    8.418127246 0.0002205325475 
343          NO_ID    8.669393856 0.0002104224101 
344          NO_ID     8.27430445 0.0002263941021 
345          NO_ID    8.390786633 0.0002216493176 
346          NO_ID    8.357686414 0.0002230007738 
347          NO_ID     8.77909458 0.0002062408828 
348          NO_ID    8.451772123 0.0002191590174 
349          NO_ID    8.030703181 0.0002361101574 
350          NO_ID     8.70127661 0.000209185371 
351          NO_ID    8.069459867 0.0002345883171 
352          NO_ID    8.020899599 0.0002364936729 
353          NO_ID    8.292707881 0.0002256471323 
354          NO_ID    8.060252032 0.0002349507103 
355          NO_ID    8.499499946 0.0002172152045 
356          NO_ID    8.349162944 0.0002233485229 
357          NO_ID    8.578133134 0.0002140381246 
