%eval_id interface             Lv       CURVE1_1 
293          NO_ID    9.691219966 0.0001862269132 
294          NO_ID    7.937401362 0.0002397384118 
295          NO_ID    8.760669616 0.0002069274105 
296          NO_ID    7.254318355 0.0002666778139 
297          NO_ID    6.326006887 0.0003139639655 
298          NO_ID    8.301651049 0.0002252836719 
299          NO_ID    9.152671563 0.0001943610673 
300          NO_ID    9.069039439 0.0001966236525 
301          NO_ID    7.777380771 0.0002458787463 
302          NO_ID    9.104429257 0.0001956348109 
303          NO_ID    8.702433278 0.0002091407969 
304          NO_ID    7.986178813 0.0002378474775 
305          NO_ID    8.423341478 0.0002203195908 
306          NO_ID    8.796825635 0.0002055870782 
307          NO_ID    8.449684335 0.0002192441972 
308          NO_ID    9.599268974 0.0001868452432 
309          NO_ID    8.424266638 0.0002202818082 
310          NO_ID    9.723645862 0.0001860775467 
311          NO_ID    9.007333791 0.0001984536498 
312          NO_ID    10.32527141 0.0001885639192 
313          NO_ID    10.17906418 0.0001871875879 
314          NO_ID    8.427249366 0.000220160002 
315          NO_ID    10.10164348 0.0001866309875 
316          NO_ID    7.932233325 0.0002399380738 
317          NO_ID    7.988231791 0.0002377676179 
318          NO_ID    6.965656332  0.00027983129 
319          NO_ID    7.478627332 0.0002574372411 
320          NO_ID    6.787338663 0.0002887431478 
321          NO_ID    9.278033904 0.0001914671736 
322          NO_ID     9.64933931 0.0001864721849 
323          NO_ID    8.467017523 0.000218537331 
324          NO_ID    8.287539769 0.0002258570343 
325          NO_ID    8.360983976 0.0002228662012 
326          NO_ID    8.719694869 0.0002084782908 
327          NO_ID    9.452156793 0.0001884698711 
328          NO_ID    9.406802372 0.0001891362583 
329          NO_ID    7.577876219 0.0002535411399 
330          NO_ID    10.21914205 0.0001875246246 
331          NO_ID    9.615992408 0.0001867108057 
332          NO_ID    10.26558948 0.0001879542185 
333          NO_ID    8.729720462 0.000208095909 
334          NO_ID    7.312344357 0.0002642161073 
335          NO_ID    8.005399883 0.0002370988729 
336          NO_ID    8.559543023 0.0002147852861 
337          NO_ID    6.387479855 0.0003104812267 
338          NO_ID    8.479852893 0.0002180144358 
339          NO_ID    7.228912014 0.0002677735538 
340          NO_ID    7.933517846 0.000239888459 
341          NO_ID    7.938648127 0.0002396902257 
342          NO_ID    7.877115462 0.0002420605169 
343          NO_ID    9.772239271 0.0001859178405 
344          NO_ID    7.613792185 0.0002521500625 
345          NO_ID     9.62898625 0.0001866131914 
346          NO_ID    8.765124578 0.0002067607689 
347          NO_ID    8.091701423 0.000233710779 
348          NO_ID    9.207741206 0.000193014755 
349          NO_ID    9.555691224 0.000187242837 
350          NO_ID    9.439122147 0.0001886532324 
351          NO_ID    9.276662149 0.0001914955207 
352          NO_ID    7.742677946 0.0002472048148 
353          NO_ID     9.37452635 0.0001896592713 
354          NO_ID    6.601724522 0.0002985858266 
355          NO_ID    7.006732824 0.0002778626377 
356          NO_ID    8.757086627 0.0002070617278 
357          NO_ID    9.704108835 0.0001861633646 
358          NO_ID    8.515484632 0.000216566231 
359          NO_ID    9.191857827 0.0001933911099 
360          NO_ID    9.640604243 0.0001865309333 
361          NO_ID      7.4774073 0.0002574857149 
362          NO_ID    7.678893591 0.0002496456955 
363          NO_ID    6.673187656 0.0002947355721 
